Timestamp,Elapsed_Seconds,Capacitance
2025-11-25 12:10:00.636618,62.9391,97.0
2025-11-25 12:10:00.682116,62.9846,97.0
2025-11-25 12:10:00.739663,63.0421,369.0
2025-11-25 12:10:00.784378,63.0868,190.0
2025-11-25 12:10:00.831135,63.1336,373.0
2025-11-25 12:10:00.885093,63.1876,148.0
2025-11-25 12:10:00.930468,63.2329,299.0
2025-11-25 12:10:00.988369,63.2908,169.0
2025-11-25 12:10:01.036499,63.339,151.0
2025-11-25 12:10:01.080078,63.3826,199.0
2025-11-25 12:10:01.137007,63.4395,190.0
2025-11-25 12:10:01.179827,63.4823,179.0
2025-11-25 12:10:01.238839,63.5413,162.0
2025-11-25 12:10:01.283884,63.5863,176.0
2025-11-25 12:10:01.340370,63.6428,160.0
2025-11-25 12:10:01.383968,63.6864,136.0
2025-11-25 12:10:01.433352,63.7358,124.0
2025-11-25 12:10:01.486185,63.7887,133.0
2025-11-25 12:10:01.531318,63.8338,153.0
2025-11-25 12:10:01.587865,63.8903,177.0
2025-11-25 12:10:01.632196,63.9347,222.0
2025-11-25 12:10:01.687884,63.9904,284.0
2025-11-25 12:10:01.732894,64.0354,337.0
2025-11-25 12:10:01.785893,64.0884,354.0
2025-11-25 12:10:01.835800,64.1383,354.0
2025-11-25 12:10:01.878382,64.1808,360.0
2025-11-25 12:10:01.935389,64.2378,346.0
2025-11-25 12:10:01.980352,64.2828,315.0
2025-11-25 12:10:02.038305,64.3408,274.0
2025-11-25 12:10:02.082778,64.3852,265.0
2025-11-25 12:10:02.140501,64.443,250.0
2025-11-25 12:10:02.186630,64.4891,252.0
2025-11-25 12:10:02.231228,64.5337,244.0
2025-11-25 12:10:02.285333,64.5878,247.0
2025-11-25 12:10:02.330945,64.6334,235.0
2025-11-25 12:10:02.385074,64.6875,232.0
2025-11-25 12:10:02.431552,64.734,230.0
2025-11-25 12:10:02.486149,64.7886,223.0
2025-11-25 12:10:02.532277,64.8347,220.0
2025-11-25 12:10:02.577904,64.8804,218.0
2025-11-25 12:10:02.636196,64.9387,201.0
2025-11-25 12:10:02.679287,64.9817,193.0
2025-11-25 12:10:02.734955,65.0374,175.0
2025-11-25 12:10:02.780406,65.0829,164.0
2025-11-25 12:10:02.831550,65.134,150.0
2025-11-25 12:10:02.889728,65.1922,139.0
2025-11-25 12:10:02.930316,65.2328,124.0
2025-11-25 12:10:02.986703,65.2892,114.0
2025-11-25 12:10:03.032023,65.3345,101.0
2025-11-25 12:10:03.087091,65.3896,95.0
2025-11-25 12:10:03.136300,65.4388,90.0
2025-11-25 12:10:03.179185,65.4817,82.0
2025-11-25 12:10:03.234695,65.5371,77.0
2025-11-25 12:10:03.291775,65.5942,71.0
2025-11-25 12:10:03.333992,65.6365,67.0
2025-11-25 12:10:03.388902,65.6914,63.0
2025-11-25 12:10:03.432379,65.7348,60.0
2025-11-25 12:10:03.482301,65.7848,55.0
2025-11-25 12:10:03.539157,65.8416,52.0
2025-11-25 12:10:03.581036,65.8835,49.0
2025-11-25 12:10:03.631745,65.9342,47.0
2025-11-25 12:10:03.678746,65.9812,45.0
2025-11-25 12:10:03.736452,66.0389,43.0
2025-11-25 12:10:03.779577,66.082,40.0
2025-11-25 12:10:03.837034,66.1395,38.0
2025-11-25 12:10:03.886902,66.1894,37.0
2025-11-25 12:10:03.931649,66.2341,35.0
2025-11-25 12:10:03.984907,66.2874,33.0
2025-11-25 12:10:04.033505,66.336,32.0
2025-11-25 12:10:04.078402,66.3809,30.0
2025-11-25 12:10:04.134999,66.4375,29.0
2025-11-25 12:10:04.179857,66.4823,29.0
2025-11-25 12:10:04.235517,66.538,28.0
2025-11-25 12:10:04.280876,66.5833,28.0
2025-11-25 12:10:04.326087,66.6286,28.0
2025-11-25 12:10:04.382130,66.6846,27.0
2025-11-25 12:10:04.436773,66.7392,27.0
2025-11-25 12:10:04.483673,66.7861,27.0
2025-11-25 12:10:04.537251,66.8397,26.0
